"","edo_dto","cand.morena","alianza.prianrd","PAN.solo","PRI.solo","PRD.solo","PVEM.solo","PT.solo","MC","PES","RSP","FXM","CI","total.votos","lista.nominal","v.validos","alianza.morena","alianza.oposic","prop.morena","gana.morena","gana.prianrd","gana.pan","gana.pri","gana.mc","gana.pvem","alianzas","participacion","postula_reelec","cand.morena18","pan.y.aliados18","pri.y.aliados18","PAN.solo18","PRI.solo18","PRD.solo18","PVEM.solo18","PT.solo18","MC.solo18","NA.solo18","PES.solo18","total.votos18","lista.nominal18","v.validos18","alianza.morena18","alianza.pan18","alianza.pri18","prop.morena18","gana.morena18","gana.pri.y.aliados18","gana.pan.y.aliados18","gana.pri.solo18","gana.pan.solo18","d.morena","gana18","gana21","cambio.morena"
"135","2.4",81138,17646,0,0,0,4001,4431,5480,19177,1692,2558,0,141150,395214,136123,0,1,0.596063854014384,1,0,0,0,0,0,"Sólo VaXM",0.357148279160151,1,126101,29854,0,0,9849,0,4621,0,0,3438,0,178173,344424,173863,1,1,0,0.725289452039824,1,0,0,0,0,-0.12922559802544,"Morena","Morena","Retiene"
"136","2.5",60352,42493,0,0,0,3645,3135,6540,26436,2421,3085,0,152870,369354,148107,0,1,0.407489180119778,1,0,0,0,0,0,"Sólo VaXM",0.413884782620467,0,107314,51210,0,0,17018,0,6096,0,0,3390,0,190459,355396,185028,1,1,0,0.579987893724193,1,0,0,0,0,-0.172498713604415,"Morena","Morena","Retiene"
"137","2.6",57298,37167,0,0,0,3668,1956,6103,28160,1688,2667,0,143709,354821,138707,0,1,0.413086578182788,1,0,0,0,0,0,"Sólo VaXM",0.405018305004495,0,103373,41404,0,0,16979,0,5981,0,0,3440,0,177076,338791,171177,1,1,0,0.603895383141427,1,0,0,0,0,-0.190808804958639,"Morena","Morena","Retiene"
"138","2.7",66088,22417,0,0,0,0,0,7050,22148,3142,5993,0,131824,372488,126838,1,1,0.521042589760166,1,0,0,0,0,0,"Ambas",0.353901333734241,0,98505,38099,0,0,17943,0,5202,0,0,3579,0,168569,344373,163328,1,1,0,0.603111530172414,1,0,0,0,0,-0.0820689404122473,"Morena","Morena","Retiene"
"139","2.8",74479,23154,0,0,0,0,0,5109,24246,1517,2546,0,134895,375102,131051,1,1,0.568320730097443,1,0,0,0,0,0,"Ambas",0.359622182766288,0,120070,31708,0,0,13754,0,4914,0,0,3135,0,178169,348046,173581,1,1,0,0.691723172467033,1,0,0,0,0,-0.12340244236959,"Morena","Morena","Retiene"
"140","20.1",100759,58336,0,0,0,0,0,8797,4748,4291,5636,0,189340,280055,182567,1,1,0.551901493698204,1,0,0,0,0,0,"Ambas",0.676081483994215,0,100005,32055,62803,0,0,0,0,0,0,0,0,202531,NA,194863,1,1,1,0.513206714460929,1,0,0,0,0,0.038694779237275,"Morena","Morena","Retiene"
"141","20.10",69872,53781,0,0,0,13943,9480,3657,3673,2642,5813,0,172476,327513,162861,0,1,0.429028435291445,1,0,0,0,0,0,"Sólo VaXM",0.526623370675362,1,108448,36206,44506,0,0,0,0,0,0,0,0,200126,306787,189160,1,1,1,0.573313596954959,1,0,0,0,0,-0.144285161663514,"Morena","Morena","Retiene"
"142","20.2",73994,62767,0,0,0,8837,10098,4244,3419,4547,3654,0,179002,283688,171560,0,1,0.4313010025647,1,0,0,0,0,0,"Sólo VaXM",0.630981923803615,1,101872,26659,56492,0,0,0,0,0,0,0,0,195162,271339,185023,1,1,1,0.55059100760446,1,0,0,0,0,-0.11929000503976,"Morena","Morena","Retiene"
"143","20.3",94183,43023,0,0,0,0,0,4739,3898,3261,10444,0,165784,307933,159548,1,1,0.590311379647504,1,0,0,0,0,0,"Ambas",0.538376854705407,1,107036,31688,39397,0,0,0,0,0,0,0,0,186185,287380,178121,1,1,1,0.600917353933562,1,0,0,0,0,-0.0106059742860578,"Morena","Morena","Retiene"
"144","20.4",90211,36017,0,0,0,0,0,3685,3028,2172,4169,0,145790,327219,139282,1,1,0.647685989575107,1,0,0,0,0,0,"Ambas",0.445542587685923,1,112482,25788,37649,0,0,0,0,0,0,0,0,184413,309294,175919,1,1,1,0.639396540453277,1,0,0,0,0,0.00828944912182983,"Morena","Morena","Retiene"
"145","20.5",106845,33183,0,0,0,0,0,3058,3131,2887,4017,0,158302,281467,153121,1,1,0.697781493067574,1,0,0,0,0,0,"Ambas",0.562417619116984,1,119380,19058,35427,0,0,0,0,0,0,0,0,181163,269697,173865,1,1,1,0.686624680067869,1,0,0,0,0,0.0111568129997053,"Morena","Morena","Retiene"
"146","20.6",65285,37628,0,0,0,6177,18403,3156,4644,2869,5605,0,151771,288511,143767,0,1,0.454102819144866,1,0,0,0,0,0,"Sólo VaXM",0.526049266752394,1,87716,35946,33092,0,0,0,0,0,0,0,0,171173,NA,156754,1,1,1,0.559577427051303,1,0,0,0,0,-0.105474607906437,"Morena","Morena","Retiene"
